,CountyName,StateName,dem_to_rep_ratio,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym
981,Caddo,OK,0.373341561,,5.0,5.0,2,5,5.0
982,Skagit,WA,1.0789941790000002,4.0,4.0,1.0,2,1,2.0
983,Lamb,TX,0.24783028,5.0,3.0,1.0,4,1,3.0
984,Blount,AL,0.09431733699999999,5.0,3.0,1.0,2,1,5.0
985,Claiborne,LA,0.757880056,4.0,2.0,2.0,2,1,2.0
986,Pike,PA,0.576482312,5.0,4.0,4.0,2,1,2.0
987,Union,GA,0.19924888300000002,5.0,2.0,2.0,2,1,3.0
988,Christian,IL,0.378639856,3.0,2.0,2.0,2,1,2.0
989,Washington,OH,0.391245003,4.0,1.0,1.0,2,1,3.0
990,Clinton,IL,0.317837577,3.0,2.0,2.0,2,1,2.0
991,Weakley,TN,0.307726465,5.0,4.0,4.0,3,4,4.0
992,Grant,WA,0.421751809,4.0,4.0,1.0,2,1,2.0
993,Ward,ND,0.311547542,,,,2,1,3.0
994,Randolph,AR,0.316034597,,5.0,5.0,2,1,3.0
995,Cerro Gordo,IA,0.84863609,,5.0,5.0,5,1,2.0
996,Albemarle,VA,1.7313983069999999,5.0,4.0,4.0,2,4,2.0
997,Pulaski,GA,0.45301600299999994,5.0,2.0,2.0,2,1,3.0
998,Chester,SC,0.9055746729999999,5.0,2.0,2.0,2,1,5.0
999,Jeff Davis,GA,0.21954191,5.0,2.0,2.0,2,1,3.0
1000,Johnson,GA,0.450972608,5.0,2.0,2.0,2,1,3.0
1001,Telfair,GA,0.5359183670000001,5.0,2.0,2.0,2,1,3.0
1002,Saluda,SC,0.509048136,5.0,2.0,2.0,2,1,5.0
1003,White,GA,0.171498822,5.0,2.0,2.0,2,1,3.0
1004,Mahaska,IA,0.352395048,,5.0,5.0,5,1,2.0
1005,Bonneville,ID,0.334469456,4.0,4.0,4.0,4,4,4.0
1006,Jackson,LA,0.413813117,4.0,2.0,2.0,2,1,2.0
